"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C1, C8, C11, C13","1µF","C_0402_1005Metric",4
2,"","","C16, C17","22µF","C_0805_2012Metric",2
3,"","","C10","10µF","C_0805_2012Metric",1
4,"","","C15","100nF","C_0402_1005Metric",1
5,"","","R6, R7, R9, R10, R11, R12, R13, R14","10K","R_0402_1005Metric",8
6,"","","R3, R8, R15","1K","R_0402_1005Metric",3
7,"","","R1","TBD","R_0402_1005Metric",1
8,"","","L2","TBD","L_Abracon_ASPI-0425",1
9,"","","D1","D_Small","D_SOD-128",1
10,"","","U1","ESP32-C3-MINI-1","ESP32-C3-MINI-1",1
11,"","","U2","MIC5219-3.3YM5","SOT-23-5",1
12,"","","U3","~","SOIC-10_3.9x4.9mm_P1mm",1
13,"","","U5","AP63205WU","TSOT-23-6",1
14,"","","SW2","SW_MEC_5G","R-668048",1
15,"","","JP1, JP2, JP3, JP4","Jumper","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",4
16,"","","Q1, Q2, Q3, Q4","Q_NMOS_GSD","SOT-23",4
17,"","","RV3","Varistor","R_0402_1005Metric",1
18,"","","J1","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",1
19,"","","J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",1
20,"","","J4","Conn_01x01","TestPoint_Pad_3.0x3.0mm",1
21,"","","J5","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",1
22,"","","J7","Conn_02x03","PinHeader_2x03_P2.54mm_Horizontal",1
23,"","","J8","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",1
